UserId,HiredForJobId,Skills,UsersPosition
533441,1357,"django, docker, typescript, flask, numpy, pandas, tensorflow, grails, mel scripting, elasticsearch, databases, postgresql, continuos deployment, chef, devops, archlinux, css, nginx, jquery, architecture, budgetary management, teaching, training & mentoring",Senior Developer / CTO
634908,1265,"oop, nosql, agile, agile development methodology, agile methodologies, es2015, continuous integration, ci/cd automation, docker, mongodb, node.js, git, github, gradle, heroku, html, css, java, javascript, mochajs, chai, es6, postgresql, python, react.js, angular, redux, sinon, spring boot, tdd, test-driven development (tdd), unix, jenkins, circle ci, webpack, junit, mockito, rest api, aws, microservices",Full Stack Developer
635261,1590,"fast learning, strong communication skills, git, kotlin, scrum, scrum master, unit testing, agile, android, react native, docker, mobile development, full stack, javascript, java",Mobile Developer
635309,1635,"css, html, xml, mobile development, e-commerce, mobile commerce, Magento Developer, backend development, php, selenium, ruby, python",Web Developer
635575,1797,"unity, android studio, xcode, gradle, ant, maven knowledge, alm, silktest, jmeter, technical recruitment, training & mentoring, qa, automation, java, agile and kanban process, jenkins, uft, jira, selenium, soap, devops, python, c#, quality assurance, agile, eclipse, scrum, android, shell script, appium, junit, perl, c++, test automation, testing, swift, kotlin, xctest, cucumber, bdd - behavior-driven development, mobile development, arduino, istqb's ctfl, ruby on rails, git, rest api, calabash, capybara, iso 8583, ios, api, sql, automated testing, functional testing, agile methodologies, documentation, unit testing, web api, startups, continuous integration, confluence, sonarqube, sonar, openshift",Software QA Automation Engineer
635611,1506,"full stack, react.js, cocoapods, gitlab, mobile application development, rest api, redux, mobile development, git flow, fast learning, java, javascript, english, json, strong communication skills, algorithms, agile, react native, swift, objective-c, continuous integration, git, core data services, leadership, xcode, saas","iOS Software Engineer "
635780,2846,"sql, oracle db, scrum, javascript, uml, microsoft office, mvc, wcf, html, bootstrap, css, pl/sql, sql server, visual studio, jenkins, microsoft visual studio, microsoft word, elasticsearch, microsoft project, microsoft excel, powerpoint, c#, tortoise, jquery, .net, windows forms, ASP.Net Core, tfs, oop, desktop applications, git, web api, jira, asp.net mvc, typescript",Software Engineer
635884,1728,"javascript, salesforce.com, apex, lighting, visualforce",Salesforce Developer
636058,1621,"json, rest api, mobile application development, mobile applications, ios, ios design patterns, ios native framework, java, design patterns, mvvm, mvc, mvp, mobile development, storyboard, xcode, react native, reactivex (rxjava, rxphp, rxswift), android studio, github, git repository, git flow, bitbucket, agile, scrum, corelocation, git, xml, soap, coredata, jira, testing, unit testing, realm, javascript, html, css, kotlin, android, swift, objective-c",Mobile Developer
636850,1534,"javascript, python, spring, jsf, hibernate, ejb, jpa, design patterns, svn, tomcat, jenkins, kanban, agile methodologies, spring boot, rest api, spring data, leadership, management, websphere application server, jaxb, sql, scrum, jax-rs, jax-ws, object oriented design, html, java, git, agile, eclipse, groovy, java se, jboss, jboss application server, jsp, junit, oracle db, postgresql, subversion, sun certified java programmer, web services, hadoop, hdf5, spark, hbase, kafka, kotlin, elasticsearch, apache spark, flink, mockito, jmeter","Senior/Lead Software Engineer "
637516,1166,"java, angular, oracle db, mysql, spring mvc, kafka","System Analyst/Full Stack Developer (Java, Angular"
