JobId,Responsibilities,POSITION,Skills
1165,"<p>AWS experience is a MUST HAVE!</p>
<p>A good profile on GitHub</p>
<p>Very passionate about programming.</p>"," DevOps Engineer ","aws, azure, devops, docker, kubernetes, openstack, python, shell"
1330,"<ul>
  <li><u><em><strong>FLUENT SPANISH IS REQUIRED FOR THIS ROLE - All applicants who do not know Spanish at least at conversational level will be rejected - This is the company's requirement</strong></em></u></li>
  <li>You have experience with tools like Jenkins, SonarQube, build systems (ANT/Ivy, Maven, Gradle), Nexus, SVN, GIT, Puppet, OpenStack or other cloud environments, JIRA, Confluence, etc.&nbsp;</li>
  <li>You have hands-on experience with deployment orchestration tools as (Pivotal) Cloud Foundry, Spinnaker, Concourse CI, Docker and Kubernetes, to name a few, and with monitoring tools as Icinga or Nagios</li>
  <li>Previous exposure and experience with scripting e.g. in SQL, Groovy, Python, Bash or programming languages as Java, C#, Kotlin will help you to become effective in the role.</li>
</ul>"," DevOps Engineer ","docker, jenkins, kubernetes, nexus"
1352,"<p><br></p>
<p>SEE THE FULL JOB DESCRIPTION GUIDE HERE: https://bit.ly/2XwZxIz&nbsp;</p>
<p><br></p>
<p>Reporting to the Chief Technology Officer, the Devops Engineer works collaboratively with our software development team to deploy and operate our cloud services. You will help automate and streamline our operations and processes. You will build and maintain tools for deployment, monitoring, and operations, and troubleshoot and resolve issues in our dev, testing and production environments. What you'll do (and love doing):</p>
<p>Design and maintain continuous deployment (CD) and continuous integration (CI) pipelines to support mission critical cloud services</p>
<p>Participate in the design and maintenance of cloud service architectures</p>
<p>Collaborate with the product management, software development, quality assurance and operations teams to determine requirements and implement internal solutions</p>
<ul>
  <li>Provide support across the software development, quality assurance, and operations teamsassurance, and operations teams</li>
</ul>
<p>Required Skills</p>
<ul>
  <li>2+ years of experience managing and configuring cloud services using Amazon Web Services (AWS)</li>
</ul>
<p>Experience using Atlassian products such as Jira, BitBucket, Bamboo</p>
<ul>
  <li>Experience using automation tools such as Jenkins</li>
</ul>
<p>To apply for this position, please send a resume and thoughtful cover letter.&nbsp;</p>"," DevOps Engineer ","aws, devops"
1585,"<p>Company in Montreal is looking for a DevOps Engineer to join their team!</p>
<p>- Experience as a DevOps Engineer<br>
- Knowledge in NodeJS, React, Rails, MongoDB, Elastic Search, AWS</p>
<p><em><strong>If you got a friend who is a good fit for this role and it's not a VanHacker yet, you can recommend him/her to us!! And if your recommentation is hired, you'll receive $150CAD from VanHack!!</strong></em></p>
<p><em><strong>Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral</strong></em></p>"," DevOps Engineer ","aws, docker, ec2, elasticsearch, jenkins, kubernetes, mongodb, node.js, react.js, ruby on rails"
1623,"<p><strong>What you will do:</strong><br>
You will be responsible for all aspects of both software delivery and technical operations;<br>
<br>
<strong><br>
The perfect candidate:</strong><br>
- Has experience working as a DevOps Engineer;<br>
- Works with AWS;<br>
- Has experience with continuous integration and continuous delivery pipelines and tools (Jenkins, GitLab, Travis);<br>
- Works with containers and container orchestration (Docker, Kubernetes, Helm);<br>
- Has experience with software package management (Bundler, NPM, apt);<br>
- Works with cloud infrastructure management tools (CloudFormation, Terraform, Ansible);<br>
- Has experience with Linux / Unix systems management;<br>
- Has worked at a startup environment before; <br>
- Has verified English classified as Advanced or Fluent;<br>
- Has a +70% grade at VanHack's DevOps challenge;<br>
<br>
<br>
<strong>It will be considered a plus if the candidate:</strong><br>
- Has experience with software development (Golang or Ruby);<br>
- Has a +70% grade at VanHack's Ruby or Ruby on Rails challenge;<br>
<br>
<br>
<br>
If you have a friend who is a good fit for this role and it's a not a VanHacker yet, recommend this person to us.<br>
If your recommendation is hired, you'll receive $150 CAD from VanHack!<br>
Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral</p>"," DevOps Engineer ","ansible, aws, devops, docker, gitlab, go lang, jenkins, kubernetes, ruby, ruby on rails, terraform, travis ci"
1693,"<p>Toronto based company is hiring a DevOps Engineer to join its team!</p>
<p><br></p>
<p>Requirements:</p>
<p>- 3+yrs of professional experience as a DevOps</p>
<p>- Hands on experience on Google Cloud or other cloud services</p>
<p>- Experience with Travis CI or other integration tools</p>
<p>- Docker and Kubernetes experience</p>
<p><br></p>
<p>Big plus if you have worked with Hadoop, Spark, R, Pandas</p>
<p><br></p>
<p><strong>- Candidates with verified English as ""Advanced"" or ""Fluent"" will be considered</strong></p>
<p><strong>- Candidates with 70% score on our HR test will be considered</strong></p>
<p><br></p>
<p><em>If you got a friend who is a good fit for this role and it's not a VanHacker yet, you can recommend him/her to us!! And if your recommentation is hired, you'll receive $150CAD from VanHack!!</em></p>
<p><em>Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral</em></p>
<p><br></p>"," DevOps Engineer ","docker, git, google cloud, hadoop, kubernetes, linux, nosql, pandas, spark, sql, travis ci"
1098,"<p style=""font-family: Lato-Regular;"">Aside from knowing JAVA and PostgreSQL, you are experienced in continuous development or&nbsp;building multithreaded applications.</p><p style=""font-family: Lato-Regular;"">You have experience working in a start-up/scale-up. You place a high-value on team work and organizational culture. You are adaptable, flexible and an efficient communicator.</p>"," Java Developer","java, postgresql"
1457,"<ul>
  <li>Post-secondary or graduate degree</li>
  <li>15+ years of full software development lifecycle experience</li>
  <li>Minimum of 10 years of hands-on experience in backend Java/J2EE software development</li>
  <li>Minimum of 5 years of experience in two or more of the following technologies: Hibernate/JPA, Jersey, JMS, ActiveMQ</li>
  <li>Minimum 5 years of experience designing and building RESTful web services using J2EE technologies</li>
  <li>Familiar with AWS and supporting applications in a distributed cloud-based environment</li>
  <li>Hands on experience designing and building high-throughput transaction processing system</li>
  <li>Expert working knowledge of SQL (preferably MySQL)</li>
  <li>Expertise with object-oriented software design methodologies, design patterns and best practices</li>
  <li>Comfortable working in a Linux command-line environment</li>
  <li>Experience writing and testing multi-threaded and/or distributed applications</li>
  <li>Ability to effectively articulate technical challenges and solutions</li>
  <li>Significant exposure to and demonstrated proficiency in all aspects of programming including design patterns, hardware and software requirements, system requirements and deployment protocol</li>
  <li>Experience with iterative, agile development methods, processes and techniques</li>
  <li>Willingness to lead technical sessions and mentor colleagues in topics related to software development and architectural best practices</li>
  <li>Excellent verbal and written communication skills</li>
  <li>Excellent attention to detail&nbsp;</li>
</ul>"," Java Developer","aws, hibernate, j2ee, java, sql"
2891,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>," Java Developer","docker, java, javascript"
976,"<p>This is&nbsp;senior Java Developer role.</p><p><u>The ideal candidate has:</u></p><p>- 7+ years solid experience developing scalable/ multi-threaded applications in Java.&nbsp;<br>- Knowledge of the agile methodology<br>- API development experience<br>- Experience with web services technology such as REST, JSON, or Thrift<br>- Good Understanding of network protocols such as HTTP, TLS, TCP etc.<br>- Experience with sql and nosql/large complex databases + data quality and lifecycle issues<br>- Hands-on Experience with Continuous integration systems</p><p>Experience with any of the following will be a plus point:<br>- Big Data technologies (ex: Hadoop, Kafka, Cassandra etc.)<br>- Deployment technology (Ansible etc.)<br>- Hands-on experience with spring/microservices<br></p><p><br></p>"," senior Java Developer","agile, ansible, design patterns, hadoop, java, microservices, mongodb, nosql, postgresql, rest api, spring, sql, tdd"
