,UserId,Skills,UsersPosition,YearsOfExperience,EnglishLevel
72,553625,"ruby on rails, javascript, docker, vue.js, linux",Software Engineer · Web Expert · Automated Test Sp,10,0
197,614275,"javascript, testing, node.js, jmeter, selenium, qa, pentest, test automation, test-driven development (tdd), java, git",Specialized in QA & Test,7,0
246,634713,"c, testing, web development, css3, google analytics, seo, svn, apache, software development, agile, jira, analytics, memcached, web standards, portuguese, database systems, quality assurance, my sql, database design, google adwords, centos, linkedin, spanish, mks, process analysis, user acceptance testing, cpanel, self-taught, bugzilla, testlink, wbs chart, quality center, test case, use case, writing, test design, self-motivated, php",QA / Tester for Web & Software,22,0
604,636884,"sql server, scrum, javascript, english, mvc, html5, css3, erp, xml, web api, react.js, kanban, software architecture, mvc modeling, ASP.Net MVC, selenium, epl2, inno setup, pascal scripting, devexpress, visual studio sdk, vsix, knockoutjs, domain drive design, test automation, c#, tsql, angular, java, jquery, .net",Test Automation Architect/Developer,9,0
619,636969,"azure, sql, javascript, english, testing, html5, test planning and test script, rest api, portuguese, quality assurance, my sql, selenium, devexpress, quality center, hp quality center, test automation, test case, c#, appium, bdd - behavior-driven development, ASP.Net Core, web application testing, java, .net, xamarin.uitest",Automation Test Engineer,4,3
672,637318,"android, ruby on rails, scrum, java sdk 1.5 1.6 1.7 and 1.8, postgresql, jsf, jsp, delphi, junit, kanban, spring boot, my sql, object orientation, process analysis, documentation, mockito, xp programming, use case, requirement gathering, gson, requirements analysis",Software Developer and Tester,37,3
747,637765,"javascript, node.js, mongodb, cordova, phonegap (build/cli), ionic framework, react.js, rest api, typescript, heroku, angular, react native",Frontend - Mobile - REST Full NodeJS,8,3
841,638136,"javascript, unity, microsoft office, testing, test planning and test script, quality assurance, quality assurance of program codes, vba, quality center, uft, test management, project management",Test Manager,10,3
903,638520,"sql, test planning and test script, integration services, system analysis, quality center, deploy, test case, transformati, requirements analysis",QA Test Analyst,20,0
1077,639431,"ddd, sql server, scrum, javascript, mvc, html5, bootstrap, json, web development, css3, visual studio, web services, selenium, cucumber, entity framework, specflow, c#, bdd - behavior-driven development, ASP.Net Core, angular, .net",Test Automation  Engineer,5,0
1087,639469,"sql, c++, testing, automation, jira, esxi vmware vsphere, alm, selenium, hyper-v, powershell, ctfl foundation, cucumber, ctfl foundation agile tester, uft, istqb's ctfl, functional testing, java, testng",Senior Test Analyst and Team Lead,16,3
1319,640665,"sql, testing, html5, web development, agile, test planning and test script, jira, analytics, databases, agile methodologies, microsoft test manager, jmeter, problem solving, mvc modeling, selenium, confluence, test case, waterfall methodology, project management",Software Tester who implements end-to-end tests,11,0
1355,640871,"testing, visual studio, jira, quality assurance, problem solving, strategic planning, testlink, quality center, test management, test case, use case, result-oriented, mantis, bugs, manual testing, redmine, creativity",Test Analyst (Coordination),7,0
1395,641025,"scrum, english, testing, agile project management, jmeter, quality assurance, alm, selenium, project management professional, pmp, project 2013, telecommunication, quality center, fluent spanish, fluent portuguese, sdlc practices, french","PMP, SFC, IT Project Mgmt, Testing & QA",13,0
1582,641947,"scrum, agile methodologies, quality assurance, selenium, test automation, bdd - behavior-driven development",Test Engineer,8,0
1739,642855,"sql, uml, pl/sql, excel, xml, oracle db, microsoft test manager, my sql, alm, selenium, clear case, bugzilla, hp quality center, it service management, clear quest, rational functional tester, rational quality manager, rup, rational requisitepro, compuware dynatrace, basic bpmn, agile & waterfall methodologies",Test analyst,10,0
1767,643005,"soap, junit, selenium, test automation, functional testing, java",Test Engineering Senior Analyst,9,0
1774,643059,"sql server, delphi, jira, testlink, test automation, test case, istqb's ctfl, mantis, linux, java",Software Test Engineer,6,0
1863,643431,"sql, python, c, testing, jmeter, security assessment and testing, selenium, machine learning, microsoft team foundation server, information security, owasp, computer forensics, test automation, cyber security, performance test planning, c#, build automation, functional testing, sdlc practices, linux, web performance, java",Software Test Analyst,9,0
1929,643772,"android, scrum, python, uml, c++, testing, research, analysis, junit, software engineering, subversion, test planning and test script, jira, agile methodologies, selenium, leadership, ms project, regression testing, testlink, test management, test automation, mobile applications, c#, embedded software, manual testing, functional testing, linux, embedded linux, eclipse, java","QA, Test Automation, Software Testing, QA Lead",14,3
1944,643845,"test planning and test script, jira, regression testing, user acceptance testing, bugzilla, testlink, test case, manual testing, redmine, integration test, agile & waterfall methodologies",Software Test Enginner,12,0
2183,644911,"android, pl/sql, jira, express.js, testlink, protractor, test automation, test case, robotium, angular, java, git",Quality and Test Analyst,7,3
2256,645274,"javascript, visual basic, visual studio, agile, jira, devops, quality assurance, tfs, selenium, uft, test management, test automation, waterfall methodology, project management, java",Quality Assurance & Test Automation Lead,12,0
2275,645342,"sql, scrum, python, json, xml, visual studio, github, agile, docker, jenkins, batch script, agile methodologies, quality assurance, tfs, selenium, powershell, api, qa, testlink, test automation, c#, bdd - behavior-driven development, nunit, mstest, git, pipelines, azure devops, test plans, azure devops, pipelines",Test Automation Engineer,4,3
2463,646304,"crm, asp, jboss, junit, apache, iis, subversion (tortoisesvn), mainframe cobol, statistics, vss, microsoft sharepoint, citrix, qa director certified, sap workflow, usability testing, pmo specialist, archlinux, documentation, application security, nmap, cobol, scmad, sdlc audit, accounting, apache tomcat, afnetworking, apple human interface guidelines, conversion rate optimization, .net compact framework, network security: wireshark, burpsuit, healthcare, dba oracle, asp.net ajax control toolkit, database acces, training & mentoring, technical recruitment, java",INDIA as Principal Quality Engineer(Technical Test,6,3
2609,647089,"microsoft test manager, selenium, regression testing, test automation, c#, team foundation server, functional testing, management of projetct, database testing",Senior Test Automation Engineer,6,3
2786,648249,"python, testing, html5, junit, jira, rest api, quality assurance, selenium, test automation, webdriver, http, java",Test Automation Engineer,8,4
2823,648474,"agile methodologies, process analysis, product management, test management, team management, lean mindset","Software Test, Process and Product Manager",23,0
2865,648743,"sql, python, c, c++, test planning and test script, quality assurance, selenium, business analysis, quality center, test management, scrum fundamentals certified credential, project management, java",Test Manager,19,0
2880,648826,"scrum, ios, test management, test case, bdd - behavior-driven development, manual testing, agile & waterfall methodologies",QA Analyst and Software Testing Specialist,7,0
2881,648831,"sql, sql server, uml, testing, html5, xml, test planning and test script, quality assurance, software configuration management, usability testing, regression testing, functional specifications, user acceptance testing, qa, v-model, testlink, quality center, test management, hp quality center, vbscript, test automation, test case, scripting, sap sd, manual testing, waterfall methodology, test design, functional testing, requirements analysis, rup, sdlc practices, silktest, automated testing",Software Test Analyst,8,0
2930,649130,"sql, test planning and test script, business analysis, test management, test case, manual testing, healthcare, agile & waterfall methodologies",Function Tester + BA,7,0
2942,649220,"subversion, test planning and test script, jira, ibm websphere, user acceptance testing, bugzilla, test management, test case, jboss 4.2 / 5 / 6, buildroot, requirements analysis",Software Testing Professional.,5,0
3003,649683,"python, spring, docker, selenium, test automation, java",Back-end developer and Tester,4,3
3007,649693,"scrum, testing, jira, alm, selenium, usability testing, regression testing, qa, testlink, quality center, test management, test case, manual testing, functional testing, automated testing",Test Analyst \ QA Analyst,10,2
3173,650844,"javascript, node.js, c#, backend development, php",JavaScript (NodeJS) Developer,6,3
3502,653291,"python, testing, jenkins, rest api, quality assurance, continuous integration, express.js, test automation, webdriver, automated testing, java, aws",Software Engineer in Test,4,4
3620,654052,"unix, front end, ibm rational clear case, 70-461 - querying microsoft sql server, apache tomcat, mel scripting, training & mentoring",Analyst Tester | Test Leader at Accenture,13,0
4150,657115,"javascript, html5, bootstrap, node.js, materialize, mongodb, web api, ux, react.js, gulp, single-­page applications, front end, express.js, jade, webpack, interface design, mongoose, material ui, redux, es6, pug, sql query, git flow, backend development, angular, jquery, git",NodeJS Full-Stack Developer,7,1
4204,657498,"scrum, testing, ireport, junit, software development, demoiselle, agile methodologies, user experience, quality assurance, selenium, qa, test automation, webdriver, bugs, manual testing, eclipse, automated testing, java",Detail-oriented QA Test Analyst,11,3
4260,657783,"testing, soap, automation, test planning and test script, web api, jenkins, rest api, shell script, qa, cucumber, test management, test automation, test case, bdd - behavior-driven development, postman, test design, java",QA Test/Automation Engineer,8,3
4330,658155,"python, test planning and test script, selenium, test automation, java",System Test Specialist,13,0
4428,658706,"software development, data analysis, data migration, automation projects, performance test planning","Performance  And Automation Test, Data Analysis ",16,0
4516,659208,"test planning and test script, selenium, scrum master, test management, test automation, test design, rational functional tester, rational quality manager, automated testing, php, java",Software Testing Automation Specialist,14,0
4592,659690,"sql, sql server, scrum, uml, testing, pl/sql, test planning and test script, oracle db, quality assurance, selenium, customer support, system analysis, qa, test automation, test case, support analyst, test design, linux, web application testing, php, java, mobile application testing",Test Analyst,9,3
